"Habitat" "Site" "Station" "Tag" "Genus" "Species"
"89" "Forest" "Audubon2" "10" "106" "Peromyscus" "leucopus"
"90" "Forest" "Audubon2" "10A" "106" "Peromyscus" "leucopus"
"91" "Forest" "Audubon2" "10A" "106" "Peromyscus" "leucopus"
"92" "Forest" "Audubon2" "9B" "106" "Peromyscus" "leucopus"
"93" "Forest" "Audubon2" "9" "107" "Peromyscus" "leucopus"
"94" "Forest" "Audubon2" "15B" "107" "Peromyscus" "leucopus"
"95" "Forest" "Audubon2" "13A" "107" "Peromyscus" "leucopus"
"96" "Forest" "Audubon2" "3" "108" "Peromyscus" "leucopus"
"97" "Forest" "Audubon2" "8B" "108" "Peromyscus" "leucopus"
"98" "Forest" "Audubon2" "9B" "108" "Peromyscus" "leucopus"
"99" "Forest" "Audubon2" "11A" "108" "Peromyscus" "leucopus"
"100" "Forest" "Audubon2" "3A" "108" "Peromyscus" "leucopus"
"101" "Forest" "Audubon2" "3A" "108" "Peromyscus" "leucopus"
"102" "Forest" "Audubon2" "9A" "108" "Peromyscus" "leucopus"
"103" "Forest" "Audubon2" "12B" "108" "Peromyscus" "leucopus"
"104" "Forest" "Audubon2" "11A" "128" "Myodes" "gapperi"
"105" "Forest" "Audubon2" "11A" "128" "Myodes" "gapperi"
"106" "Forest" "Audubon2" "18B" "129" "Peromyscus" "maniculatus"
"107" "Forest" "Audubon2" "20A" "130" "Peromyscus" "leucopus"
"108" "Forest" "Audubon2" "17A" "130" "Peromyscus" "leucopus"
"109" "Forest" "Audubon2" "27A" "131" "Peromyscus" "leucopus"
"110" "Forest" "Audubon2" "27A" "133" "Peromyscus" "leucopus"
"111" "Forest" "Audubon2" "24B" "133" "Peromyscus" "leucopus"
"112" "Forest" "Audubon2" "27B" "133" "Peromyscus" "leucopus"
"113" "Forest" "Audubon2" "1B" "137" "Peromyscus" "leucopus"
"114" "Forest" "Audubon2" "9A" "139" "Myodes" "gapperi"
"115" "Forest" "Audubon2" "11B" "139" "Myodes" "gapperi"
"116" "Forest" "Audubon2" "10B" "143" "Napeozapus" "insignis"
"117" "Forest" "Audubon2" "27A" "143" "Napeozapus" "insignis"
"118" "Forest" "Audubon2" "25B" "144" "Peromyscus" "leucopus"
"119" "Forest" "Audubon2" "2B" "144" "Peromyscus" "leucopus"
"120" "Forest" "Audubon2" "29B" "145" "Peromyscus" "leucopus"
"121" "Forest" "Audubon2" "24A" "145" "Peromyscus" "leucopus"
"122" "Forest" "Audubon2" "24A" "145" "Peromyscus" "leucopus"
"123" "Forest" "Audubon2" "20A" "145" "Peromyscus" "leucopus"
"124" "Forest" "Audubon2" "8A" "192" "Peromyscus" "leucopus"
"125" "Forest" "Audubon2" "1B" "193" "Peromyscus" "leucopus"
"126" "Forest" "Audubon2" "3B" "193" "Peromyscus" "leucopus"
"127" "Forest" "Audubon2" "6A" "193" "Peromyscus" "leucopus"
"128" "Forest" "Audubon2" "5A" "193" "Peromyscus" "leucopus"
"129" "Forest" "Audubon2" "4A" "193" "Peromyscus" "leucopus"
"130" "Forest" "Audubon2" "5A" "193" "Peromyscus" "leucopus"
"131" "Forest" "Audubon2" "3A" "194" "Napeozapus" "insignis"
"132" "Forest" "Audubon2" "1B" "195" "Napeozapus" "insignis"
"133" "Forest" "Audubon2" "1A" "196" "Peromyscus" "leucopus"
"134" "Forest" "Audubon2" "1A" "196" "Peromyscus" "leucopus"
"135" "Forest" "Audubon2" "22A" "197" "Peromyscus" "leucopus"
"136" "Forest" "Audubon2" "22B" "197" "Peromyscus" "leucopus"
"137" "Forest" "Audubon2" "8A" "197" "Peromyscus" "leucopus"
"138" "Forest" "Audubon2" "16A" "269" "Napeozapus" "insignis"
"139" "Forest" "Audubon2" "3B" "270" "Peromyscus" "leucopus"
"140" "Forest" "Audubon2" "7B" "271" "Myodes" "gapperi"
"141" "Forest" "Audubon2" "16A" "272" "Peromyscus" "leucopus"
"142" "Forest" "Audubon2" "14B" "272" "Peromyscus" "leucopus"
"143" "Forest" "Audubon2" "13B" "272" "Peromyscus" "leucopus"
"144" "Forest" "Audubon2" "29B" "273" "Peromyscus" "maniculatus"
"145" "Forest" "Audubon2" "13A" "277" "Peromyscus" "leucopus"
"146" "Forest" "Audubon2" "12B" "278" "Peromyscus" "leucopus"
"147" "Forest" "Audubon2" "11B" "279" "Peromyscus" "leucopus"
"148" "Forest" "Audubon2" "6B" "280" "Peromyscus" "leucopus"
"149" "Forest" "Audubon2" "5B" "280" "Peromyscus" "leucopus"
"150" "Forest" "Audubon2" "5B" "280" "Peromyscus" "leucopus"
"151" "Forest" "Audubon2" "10A" "280" "Peromyscus" "leucopus"
"152" "Forest" "Audubon2" "30A" "282" "Peromyscus" "leucopus"
"153" "Forest" "Audubon2" "24B" "284" "Peromyscus" "leucopus"
"154" "Forest" "Audubon2" "23" "285" "Peromyscus" "leucopus"
"155" "Forest" "Audubon2" "30B" "285" "Peromyscus" "leucopus"
"156" "Forest" "Audubon2" "29A" "285" "Peromyscus" "leucopus"
